Name,Address,Rating
Madras Christian College,,"4.5 stars 1,875 Reviews"
The New College,,"4.6 stars 1,601 Reviews"
Chennai College of Arts and Science,,4.6 stars 101 Reviews
Loyola College,,"4.5 stars 4,373 Reviews"
Chennai Institute of Technology,,"4.2 stars 1,837 Reviews"
Stella Maris College,,"4.3 stars 1,232 Reviews"
Guru Nanak College,,"4.2 stars 1,625 Reviews"
Vallal P.T Lee Chengalvaraya Naicker Arts & Science College,,4.6 stars 264 Reviews
Queen Mary's College,,4.1 stars 544 Reviews
Presidency College Chennai,,"4.4 stars 1,122 Reviews"
Dr.Ambedkar Government Arts College,,4.2 stars 747 Reviews
Pachaiyappa's College,,"4.3 stars 1,321 Reviews"
"Madras Institute of Technology, Anna University",,"4.5 stars 1,268 Reviews"
Ramakrishna Mission Vivekananda College (Autonomous),,4.3 stars 781 Reviews
M.O.P. Vaishnav College for Women,,4.1 stars 600 Reviews
Vellore Institute of Technology - Chennai,,"4.3 stars 1,222 Reviews"
Sathyabama University,,"4.2 stars 2,874 Reviews"
"Sir Theagaraya College,Chennai.",,4.3 stars 259 Reviews
SRM Institute of Science and Technology,,"4.3 stars 7,526 Reviews"
Meenakshi Sundararajan Engineering College,,4.3 stars 534 Reviews
ICAT College of Design & Media,,3.9 stars 380 Reviews
Sathyabama University,,"4.2 stars 2,874 Reviews"
Indian Institute Of Technology–Madras (IIT–Madras),,"4.7 stars 2,116 Reviews"
SIVET College,,4.0 stars 464 Reviews
SRM Institute of Science and Technology,,"4.3 stars 7,526 Reviews"
Anna University,,"4.4 stars 2,435 Reviews"
Shrimathi Devkunvar Nanalal Bhatt Vaishnav College For Women,,4.1 stars 678 Reviews
SIGA Polytechnic College,,4.8 stars 284 Reviews
St.Britto's College Chennai,,3.7 stars 126 Reviews
Central Polytechnic College,,4.2 stars 771 Reviews
